"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-01-01","74","81","66",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-01-02","76","81","69",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-01-03","73","79","67",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-01-04","72","78","65",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-01-05","71","78","62",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-01-06","70","79","64",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-01-07","72","79","65",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-01-08","73","80","69",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-01-09","72","79","65",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-01-10","73","82","67",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-01-11","72","79","66",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-01-12","71","80","66",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-01-13","73","79","67",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-01-14","73","79","69",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-01-15","72","79","65",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-01-16","74","80","67",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-01-17","74","79","68",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-01-18","73","79","66",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-01-19","72","80","66",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-01-20","73","79","65",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-01-21","74","81","67",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-01-22","75","80","67",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-01-23","69","77","61",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-01-24","68","78","61",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-01-25","71","80","62",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-01-26","76","79","70",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-01-27","71","77","68",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-01-28","71","77","69",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-01-29","72","78","68",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-01-30","73","80","67",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-01-31","74","80","67",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-02-01","74","78","70",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-02-02","73","80","67",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-02-03","73","77","68",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-02-04","69","71","67",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-02-05","71","79","67",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-02-06","75","79","67",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-02-07","75","80","70",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-02-08","74","80","69",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-02-09","75","82","70",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-02-10","76","81","71",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-02-11","75","82","68",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-02-12","76","81","69",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-02-13","75","81","70",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-02-14","76","78","73",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-02-15","75","83","71",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-02-16","76","77","71",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-02-17","74","78","70",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-02-18","76","81","71",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-02-19","76","81","70",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-02-20","76","82","69",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-02-21","75","81","69",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-02-22","77","82","71",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-02-23","76","82","69",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-02-24","75","84","67",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-02-25","72","81","64",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-02-26","72","80","67",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-02-27","71","80","65",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-02-28","76","80","72",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-03-01","74","78","69",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-03-02","72","72","68",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-03-03","70","76","66",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-03-04","72","82","65",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-03-05","71","79","65",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-03-06","72","80","65",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-03-07","75","80","68",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-03-08","71","79","67",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-03-09","73","81","70",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-03-10","75","81","69",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-03-11","74","83","67",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-03-12","75","83","70",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-03-13","77","84","73",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-03-14","77","84","70",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-03-15","75","80","69",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-03-16","71","77","67",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-03-17","72","79","68",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-03-18","72","79","65",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-03-19","73","83","65",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-03-20","74","83","66",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-03-21","75","82","70",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-03-22","75","82","71",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-03-23","75","81","70",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-03-24","75","82","70",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-03-25","76","85","69",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-03-26","76","83","70",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-03-27","77","82","71",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-03-28","76","82","70",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-03-29","75","83","69",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-03-30","74","84","67",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-03-31","76","84","72",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-04-01","77","85","74",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-04-02","78","85","75",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-04-03","78","83","74",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-04-04","78","85","73",
